Day,Survival Probability
0,0.9999999
1,0.9989806
2,0.9979613
3,0.996942
4,0.9959227
5,0.9949034
6,0.9934095142857143
7,0.9919156285714286
8,0.9904217428571429
9,0.9889278571428571
10,0.9874339714285715
11,0.9859400857142857
12,0.9844462
13,0.9827126
14,0.980979
15,0.9792454
16,0.9792454
17,0.9792454
18,0.9792454
19,0.9792454
20,0.9792454
21,0.9792454
22,0.9792454
23,0.9792454
24,0.9792454
25,0.9792454
26,0.9792454
27,0.9792454
28,0.9792454
29,0.9792454
30,0.9792454
31,0.9792454
32,0.9792454
33,0.9792454
34,0.9792454
35,0.9792454
36,0.9792454
37,0.9792454
38,0.9792454
39,0.9792454
40,0.9792454
41,0.9792454
42,0.9792454
43,0.9792454
44,0.9792454
45,0.9792454
46,0.9792454
47,0.9792454
48,0.9792454
49,0.9792454
50,0.9792454
51,0.9792454
52,0.9792454
53,0.9792454
54,0.9792454
55,0.9792454
56,0.9792454
57,0.9792454
58,0.9792454
59,0.9792454
60,0.9792454
61,0.9792454
62,0.9792454
63,0.9792454
64,0.9792454
65,0.9792454
66,0.9792454
67,0.9792454
68,0.9792454
69,0.9792454
70,0.9792454
71,0.9792454
72,0.9792454
73,0.9792454
74,0.9792454
75,0.9792454
76,0.9792454
77,0.9792454
78,0.9792454
79,0.9792454
80,0.9792454
81,0.9792454
82,0.9792454
83,0.9792454
84,0.9792454
85,0.9792454
86,0.9792454
87,0.9792454
88,0.9792454
89,0.9792454
90,0.9792454
91,0.9792454
92,0.9792454
93,0.9792454
94,0.9792454
95,0.9792454
96,0.9792454
97,0.9792454
98,0.9792454
99,0.9792454
100,0.9792454
101,0.9792454
102,0.9792454
103,0.9792454
104,0.9792454
105,0.9792454
106,0.9792454
107,0.9792454
108,0.9792454
109,0.9792454
110,0.9792454
111,0.9792454
112,0.9792454
113,0.9792454
114,0.9792454
115,0.9792454
116,0.9792454
117,0.9792454
118,0.9792454
119,0.9792454
120,0.9792454
121,0.9792454
122,0.9792454
123,0.9792454
124,0.9792454
125,0.9792454
126,0.9792454
127,0.9792454
128,0.9792454
129,0.9792454
130,0.9792454
131,0.9792454
132,0.9792454
133,0.9792454
134,0.9792454
135,0.9792454
136,0.9792454
137,0.9792454
138,0.9792454
139,0.9792454
140,0.9792454
141,0.9792454
142,0.9792454
143,0.9792454
144,0.9792454
145,0.9792454
146,0.9792454
147,0.9792454
148,0.9792454
149,0.9792454
150,0.9792454
151,0.9792454
152,0.9792454
153,0.9792454
154,0.9792454
155,0.9792454
156,0.9792454
157,0.9792454
158,0.9792454
159,0.9792454
160,0.9792454
161,0.9792454
162,0.9792454
163,0.9792454
164,0.9792454
165,0.9792454
166,0.9792454
167,0.9792454
168,0.9792454
169,0.9792454
170,0.9792454
171,0.9792454
172,0.9792454
173,0.9792454
174,0.9792454
175,0.9792454
176,0.9792454
177,0.9792454
178,0.9792454
179,0.9792454
180,0.9792454
181,0.9792454
182,0.9792454
183,0.9792454
184,0.9792454
185,0.9792454
186,0.9792454
187,0.9792454
188,0.9792454
189,0.9792454
190,0.9792454
191,0.9792454
192,0.9792454
193,0.9792454
194,0.9792454
195,0.9792454
196,0.9792454
197,0.9792454
198,0.9792454
199,0.9792454
200,0.9792454
201,0.9792454
202,0.9792454
203,0.9792454
204,0.9792454
205,0.9792454
206,0.9792454
207,0.9792454
208,0.9792454
209,0.9792454
210,0.9792454
211,0.9792454
212,0.9792454
213,0.9792454
214,0.9792454
215,0.9792454
216,0.9792454
217,0.9792454
218,0.9792454
219,0.9792454
220,0.9792454
221,0.9792454
222,0.9792454
223,0.9792454
224,0.9792454
225,0.9792454
226,0.9792454
227,0.9792454
228,0.9792454
229,0.9792454
230,0.9792454
231,0.9792454
232,0.9792454
233,0.9792454
234,0.9792454
235,0.9792454
236,0.9792454
237,0.9792454
238,0.9792454
239,0.9792454
240,0.9792454
241,0.9792454
242,0.9792454
243,0.9792454
244,0.9792454
245,0.9792454
246,0.9792454
247,0.9792454
248,0.9792454
249,0.9792454
250,0.9792454
251,0.9792454
252,0.9792454
253,0.9792454
254,0.9792454
255,0.9792454
256,0.9792454
257,0.9792454
258,0.9792454
259,0.9792454
260,0.9792454
261,0.9792454
262,0.9792454
263,0.9792454
264,0.9792454
265,0.9792454
266,0.9792454
267,0.9792454
268,0.9792454
269,0.9792454
270,0.9792454
271,0.9792454
272,0.9792454
273,0.9792454
274,0.9792454
275,0.9792454
276,0.9792454
277,0.9792454
278,0.9792454
279,0.9792454
280,0.9792454
281,0.9792454
282,0.9792454
283,0.9792454
284,0.9792454
285,0.9792454
286,0.9792454
287,0.9792454
288,0.9792454
289,0.9792454
290,0.9792454
291,0.9792454
292,0.9792454
293,0.9792454
294,0.9792454
295,0.9792454
296,0.9792454
297,0.9792454
298,0.9792454
299,0.9792454
300,0.9792454
301,0.9792454
302,0.9792454
303,0.9792454
304,0.9792454
305,0.9792454
306,0.9792454
307,0.9792454
308,0.9792454
309,0.9792454
310,0.9792454
311,0.9792454
312,0.9792454
313,0.9792454
314,0.9792454
315,0.9792454
316,0.9792454
317,0.9792454
318,0.9792454
319,0.9792454
320,0.9792454
321,0.9792454
322,0.9792454
323,0.9792454
324,0.9792454
325,0.9792454
326,0.9792454
327,0.9792454
328,0.9792454
329,0.9792454
330,0.9792454
331,0.9792454
332,0.9792454
333,0.9792454
334,0.9792454
335,0.9792454
336,0.9792454
337,0.9792454
338,0.9792454
339,0.9792454
340,0.9792454
341,0.9792454
342,0.9792454
343,0.9792454
344,0.9792454
345,0.9792454
346,0.9792454
347,0.9792454
348,0.9792454
349,0.9792454
350,0.9792454
351,0.9792454
352,0.9792454
353,0.9792454
354,0.9792454
355,0.9792454
356,0.9792454
357,0.9792454
358,0.9792454
359,0.9792454
360,0.9792454
361,0.9792454
362,0.9792454
363,0.9792454
364,0.9792454
365,0.9792454
366,0.9792454
367,0.9792454
368,0.9792454
369,0.9792454
370,0.9792454
371,0.9792454
372,0.9792454
373,0.9792454
374,0.9792454
375,0.9792454
376,0.9792454
377,0.9792454
378,0.9792454
379,0.9792454
380,0.9792454
381,0.9792454
382,0.9792454
383,0.9792454
384,0.9792454
385,0.9792454
386,0.9792454
387,0.9792454
388,0.9792454
389,0.9792454
390,0.9792454
391,0.9792454
392,0.9792454
393,0.9792454
394,0.9792454
395,0.9792454
396,0.9792454
397,0.9792454
398,0.9792454
399,0.9792454
400,0.9792454
401,0.9792454
402,0.9792454
403,0.9792454
404,0.9792454
405,0.9792454
406,0.9792454
407,0.9792454
408,0.9792454
409,0.9792454
410,0.9792454
411,0.9792454
412,0.9792454
413,0.9792454
414,0.9792454
415,0.9792454
416,0.9792454
417,0.9792454
418,0.9792454
419,0.9792454
420,0.9792454
421,0.9792454
422,0.9792454
423,0.9792454
424,0.9792454
425,0.9792454
426,0.9792454
427,0.9792454
428,0.9792454
429,0.9792454
430,0.9792454
431,0.9792454
432,0.9792454
433,0.9792454
434,0.9792454
435,0.9792454
436,0.9792454
437,0.9792454
438,0.9792454
439,0.9792454
440,0.9792454
441,0.9792454
442,0.9792454
443,0.9792454
444,0.9792454
445,0.9792454
446,0.9792454
447,0.9792454
448,0.9792454
449,0.9792454
450,0.9792454
451,0.9792454
452,0.9792454
453,0.9792454
454,0.9792454
455,0.9792454
456,0.9792454
457,0.9792454
458,0.9792454
459,0.9792454
460,0.9792454
461,0.9792454
462,0.9792454
463,0.9792454
464,0.9792454
465,0.9792454
466,0.9792454
467,0.9792454
468,0.9792454
469,0.9792454
470,0.9792454
471,0.9792454
472,0.9792454
473,0.9792454
474,0.9792454
475,0.9792454
476,0.9792454
477,0.9792454
478,0.9792454
479,0.9792454
480,0.9792454
481,0.9792454
482,0.9792454
483,0.9792454
484,0.9792454
485,0.9792454
486,0.9792454
487,0.9792454
488,0.9792454
489,0.9792454
490,0.9792454
491,0.9792454
492,0.9792454
493,0.9792454
494,0.9792454
495,0.9792454
496,0.9792454
497,0.9792454
498,0.9792454
499,0.9792454
500,0.9792454
501,0.9792454
502,0.9792454
503,0.9792454
504,0.9792454
505,0.9792454
506,0.9792454
507,0.9792454
508,0.9792454
509,0.9792454
510,0.9792454
511,0.9792454
